Starting Rooms:
-> 7, 0, 4, 4
-> 10, 3, 4, 5

10, 13, 4, 4
-> 7, 13, 4, 4
-> 10, 16, 4, 6
-> 10, 10, 4, 4
-> 13, 14, 6, 4

10, 16, 4, 6
-> 10, 21, 5, 5
-> 7, 16, 4, 6
-> 10, 13, 4, 4
-> 13, 17, 6, 5

16, 0, 5, 4
-> 13, 0, 4, 4
-> 20, 0, 4, 4
-> 13, 3, 6, 5
-> 18, 3, 5, 5

12, 25, 5, 5
-> 9, 25, 4, 5
-> 10, 21, 5, 5
-> 14, 21, 4, 5
-> 16, 25, 4, 5

22, 25, 4, 5
-> 25, 25, 5, 5
-> 23, 21, 4, 5
-> 19, 25, 4, 5

25, 25, 5, 5
-> 22, 25, 4, 5
-> 26, 21, 4, 5

0, 10, 4, 4
-> 0, 7, 4, 4
-> 0, 13, 4, 4
-> 3, 11, 5, 4

0, 13, 4, 4
-> 0, 16, 4, 6
-> 0, 10, 4, 4
-> 3, 14, 5, 4

3, 11, 5, 4
-> 3, 7, 5, 5
-> 7, 8, 4, 6
-> 0, 10, 4, 4
-> 3, 14, 5, 4

3, 14, 5, 4
-> 3, 17, 5, 5
-> 7, 13, 4, 4
-> 0, 13, 4, 4
-> 3, 11, 5, 4

7, 0, 4, 4
-> 3, 0, 5, 4
-> 10, 0, 4, 4
-> 7, 3, 4, 6

7, 3, 4, 6
-> 3, 3, 5, 5
-> 7, 8, 4, 6
-> 7, 0, 4, 4
-> 10, 3, 4, 5

10, 3, 4, 5
-> 10, 0, 4, 4
-> 7, 3, 4, 6
-> 13, 3, 6, 5
-> 10, 7, 4, 4

20, 0, 4, 4
-> 16, 0, 5, 4
-> 23, 0, 4, 4
-> 18, 3, 5, 5

13, 3, 6, 5
-> 13, 0, 4, 4
-> 16, 0, 5, 4
-> 10, 3, 4, 5
-> 13, 7, 6, 5
-> 18, 3, 5, 5

13, 17, 6, 5
-> 10, 16, 4, 6
-> 18, 17, 6, 5
-> 14, 21, 4, 5
-> 13, 14, 6, 4

18, 17, 6, 5
-> 13, 17, 6, 5
-> 23, 17, 4, 5
-> 17, 21, 4, 5
-> 20, 21, 4, 5
-> 18, 14, 5, 4

23, 17, 4, 5
-> 18, 17, 6, 5
-> 26, 17, 4, 5
-> 23, 21, 4, 5
-> 22, 14, 4, 4

26, 17, 4, 5
-> 23, 17, 4, 5
-> 26, 21, 4, 5
-> 25, 13, 5, 5

14, 21, 4, 5
-> 10, 21, 5, 5
-> 12, 25, 5, 5
-> 13, 17, 6, 5
-> 17, 21, 4, 5

23, 21, 4, 5
-> 22, 25, 4, 5
-> 23, 17, 4, 5
-> 26, 21, 4, 5
-> 20, 21, 4, 5

26, 21, 4, 5
-> 25, 25, 5, 5
-> 26, 17, 4, 5
-> 23, 21, 4, 5

16, 25, 4, 5
-> 12, 25, 5, 5
-> 19, 25, 4, 5
-> 17, 21, 4, 5

19, 25, 4, 5
-> 22, 25, 4, 5
-> 16, 25, 4, 5
-> 20, 21, 4, 5

10, 7, 4, 4
-> 7, 8, 4, 6
-> 10, 3, 4, 5
-> 10, 10, 4, 4
-> 13, 7, 6, 5

10, 10, 4, 4
-> 7, 8, 4, 6
-> 10, 13, 4, 4
-> 10, 7, 4, 4
-> 13, 11, 6, 4

23, 0, 4, 4
-> 20, 0, 4, 4
-> 26, 0, 4, 4
-> 22, 3, 4, 4

26, 0, 4, 4
-> 23, 0, 4, 4
-> 25, 3, 5, 5

13, 7, 6, 5
-> 13, 3, 6, 5
-> 10, 7, 4, 4
-> 13, 11, 6, 4
-> 18, 7, 5, 5

17, 21, 4, 5
-> 18, 17, 6, 5
-> 14, 21, 4, 5
-> 16, 25, 4, 5
-> 20, 21, 4, 5

20, 21, 4, 5
-> 18, 17, 6, 5
-> 23, 21, 4, 5
-> 19, 25, 4, 5
-> 17, 21, 4, 5

13, 11, 6, 4
-> 10, 10, 4, 4
-> 13, 7, 6, 5
-> 13, 14, 6, 4
-> 18, 11, 5, 4

13, 14, 6, 4
-> 10, 13, 4, 4
-> 13, 17, 6, 5
-> 13, 11, 6, 4
-> 18, 14, 5, 4

18, 3, 5, 5
-> 16, 0, 5, 4
-> 20, 0, 4, 4
-> 13, 3, 6, 5
-> 18, 7, 5, 5
-> 22, 3, 4, 4

18, 7, 5, 5
-> 13, 7, 6, 5
-> 18, 3, 5, 5
-> 18, 11, 5, 4
-> 22, 6, 4, 6

18, 11, 5, 4
-> 13, 11, 6, 4
-> 18, 7, 5, 5
-> 18, 14, 5, 4
-> 22, 11, 4, 4

18, 14, 5, 4
-> 18, 17, 6, 5
-> 13, 14, 6, 4
-> 18, 11, 5, 4
-> 22, 14, 4, 4

25, 3, 5, 5
-> 26, 0, 4, 4
-> 22, 3, 4, 4
-> 25, 7, 5, 4

22, 3, 4, 4
-> 23, 0, 4, 4
-> 18, 3, 5, 5
-> 25, 3, 5, 5
-> 22, 6, 4, 6

22, 6, 4, 6
-> 18, 7, 5, 5
-> 22, 3, 4, 4
-> 22, 11, 4, 4
-> 25, 7, 5, 4

22, 11, 4, 4
-> 18, 11, 5, 4
-> 22, 6, 4, 6
-> 22, 14, 4, 4
-> 25, 10, 5, 4

22, 14, 4, 4
-> 23, 17, 4, 5
-> 18, 14, 5, 4
-> 22, 11, 4, 4
-> 25, 13, 5, 5

25, 13, 5, 5
-> 26, 17, 4, 5
-> 22, 14, 4, 4
-> 25, 10, 5, 4

25, 7, 5, 4
-> 25, 3, 5, 5
-> 22, 6, 4, 6
-> 25, 10, 5, 4

25, 10, 5, 4
-> 22, 11, 4, 4
-> 25, 13, 5, 5
-> 25, 7, 5, 4

